epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8723,1.79586,3.06699,1.84235,0.00573,0.67451,0.11631,0.04193,1.83481,3.83269,2.23821,0.000467827,0.000467827,0.000467827
2,22.2333,1.68375,2.24758,1.7379,0.10049,0.30327,0.12602,0.04488,2.02194,3.32845,2.37219,0.000934814,0.000934814,0.000934814
3,31.355,1.6783,2.06265,1.72145,0.3121,0.58791,0.40403,0.17475,1.74044,2.87955,1.74694,0.00139237,0.00139237,0.00139237
4,40.4056,1.67626,1.95294,1.70332,0.37272,0.68578,0.53688,0.25124,1.59409,2.31745,1.78552,0.00138656,0.00138656,0.00138656
5,49.5091,1.67712,1.90869,1.70091,0.84106,0.41307,0.51709,0.22275,1.87453,2.79206,2.02771,0.00137241,0.00137241,0.00137241
6,58.1729,1.64262,1.86349,1.68454,0.39543,0.77206,0.57893,0.24799,1.782,1.75329,1.81801,0.00135826,0.00135826,0.00135826
7,67.0044,1.59744,1.77425,1.65305,0.8134,0.51634,0.57121,0.283,1.8821,1.61577,1.96602,0.00134412,0.00134412,0.00134412
8,75.9175,1.61474,1.73285,1.66454,0.51839,0.8107,0.58371,0.27506,1.67546,1.87106,1.78618,0.00132997,0.00132997,0.00132997
9,84.8047,1.59719,1.72047,1.65394,0.3951,0.6309,0.57537,0.21665,2.1035,1.83768,2.09327,0.00131582,0.00131582,0.00131582
10,93.6463,1.55269,1.63854,1.62894,0.39709,0.71933,0.52793,0.23532,1.7143,1.73657,1.83064,0.00130168,0.00130168,0.00130168
11,102.491,1.5542,1.61288,1.61744,0.80873,0.53595,0.57008,0.31893,1.63605,1.38642,1.74549,0.00128753,0.00128753,0.00128753
12,111.642,1.53748,1.59953,1.61251,0.83226,0.54179,0.63687,0.32225,1.54989,1.42079,1.66822,0.00127338,0.00127338,0.00127338
13,120.397,1.51639,1.54722,1.59034,0.37036,0.68611,0.58308,0.26053,1.88508,1.59573,1.8482,0.00125923,0.00125923,0.00125923
14,129.117,1.54722,1.55279,1.61582,0.60841,0.70539,0.7181,0.37,1.70966,1.43359,1.81301,0.00124509,0.00124509,0.00124509
15,137.9,1.53488,1.53366,1.58847,0.54953,0.62206,0.55535,0.30099,1.58539,1.4542,1.67163,0.00123094,0.00123094,0.00123094
16,146.621,1.50334,1.50752,1.57222,0.56082,0.73116,0.72542,0.40598,1.60891,1.23469,1.71878,0.00121679,0.00121679,0.00121679
17,155.586,1.49205,1.49343,1.56034,0.55276,0.75193,0.62138,0.33241,1.61205,1.35235,1.70484,0.00120265,0.00120265,0.00120265
18,165.253,1.50259,1.50171,1.58353,0.67914,0.76667,0.81584,0.40028,1.62973,1.20441,1.71216,0.0011885,0.0011885,0.0011885
19,174.19,1.50993,1.50874,1.59015,0.60586,0.48805,0.50583,0.27898,1.62794,1.59235,1.74962,0.00117435,0.00117435,0.00117435
20,182.953,1.50373,1.5075,1.58605,0.54551,0.62435,0.58001,0.30764,1.57779,1.43067,1.65226,0.00116021,0.00116021,0.00116021
21,191.746,1.47333,1.46634,1.56888,0.62461,0.70106,0.70679,0.38251,1.46124,1.45509,1.57426,0.00114606,0.00114606,0.00114606
22,200.571,1.47339,1.43987,1.57794,0.59359,0.66356,0.6578,0.31846,1.8213,1.27363,1.83171,0.00113191,0.00113191,0.00113191
23,209.598,1.50375,1.46024,1.57278,0.64022,0.5969,0.61719,0.32717,1.50881,1.43247,1.60026,0.00111776,0.00111776,0.00111776
24,218.634,1.45192,1.4306,1.55283,0.5081,0.76667,0.58695,0.31384,1.59259,1.1546,1.69188,0.00110362,0.00110362,0.00110362
25,227.589,1.464,1.45261,1.5786,0.57376,0.64167,0.67081,0.30123,1.79289,1.31338,1.85536,0.00108947,0.00108947,0.00108947
26,236.117,1.46613,1.43054,1.55408,0.66896,0.57943,0.60377,0.30627,1.65555,1.35243,1.72829,0.00107532,0.00107532,0.00107532
27,245.053,1.46056,1.42861,1.54843,0.81362,0.63544,0.70598,0.36286,1.48786,1.38117,1.59175,0.00106118,0.00106118,0.00106118
28,253.877,1.44855,1.41222,1.55023,0.46742,0.7469,0.59709,0.31054,1.62009,1.39041,1.6273,0.00104703,0.00104703,0.00104703
29,262.776,1.479,1.40094,1.55285,0.61049,0.73942,0.6592,0.34358,1.62885,1.17209,1.75766,0.00103288,0.00103288,0.00103288
30,271.518,1.41836,1.39451,1.53028,0.73883,0.73352,0.78286,0.38227,1.63784,1.31473,1.72225,0.00101873,0.00101873,0.00101873
31,280.173,1.45372,1.43245,1.55509,0.62561,0.83317,0.72264,0.38579,1.52697,1.21794,1.64642,0.00100459,0.00100459,0.00100459
32,289.217,1.43293,1.41058,1.54583,0.51089,0.76912,0.69487,0.35189,1.65774,1.22001,1.75481,0.00099044,0.00099044,0.00099044
33,297.695,1.42447,1.37472,1.52038,0.59722,0.80812,0.70915,0.38265,1.59076,1.22871,1.64469,0.000976293,0.000976293,0.000976293
